name,session,condition,alpha_theta_ratio,alpha_power,theta_power,theta_region,alpha_region
choi,3,2back,0.5420225883535131,4.369225485784325e-13,8.060965686054891e-13,frontal,parietal
choi,3,3back,0.3589015684605727,4.661050473436851e-13,1.2986988308324691e-12,frontal,parietal
jung,1,rest,0.19774093152554204,5.76458740023864e-12,2.915222132193725e-11,frontal,parietal
jung,1,0back,0.3595410575087181,1.615618691487463e-12,4.4935582675374636e-12,frontal,parietal
jung,1,2back,0.25222785466158,1.5906652618946963e-12,6.306461528719455e-12,frontal,parietal
jung,1,3back,0.1671488774855805,2.085831978905953e-12,1.2478887147093718e-11,frontal,parietal
jung,2,rest,0.4477671410070422,3.062601341733338e-12,6.839718820915382e-12,frontal,parietal
jung,2,0back,0.31942831357870854,2.356256067660167e-12,7.376478438188214e-12,frontal,parietal
jung,2,2back,0.23959900571064965,1.5066987978438634e-12,6.288418407142388e-12,frontal,parietal
jung,2,3back,0.25891888892714415,2.2601800936485985e-12,8.72929782378519e-12,frontal,parietal
jung,3,rest,1.0273039862577225,3.0671303211872926e-12,2.9856112331076202e-12,frontal,parietal
jung,3,0back,1.2518765636219686,3.781880236973123e-12,3.020968957219926e-12,frontal,parietal
jung,3,2back,0.7156406720104781,1.954581494993963e-12,2.7312331054394642e-12,frontal,parietal
jung,3,3back,0.8322872149891637,2.0671139131617064e-12,2.483654531673444e-12,frontal,parietal
song,1,rest,1.9313028170774935,1.347024807774554e-12,6.97469498756758e-13,frontal,parietal
song,1,0back,2.063946719722362,1.3846161880182618e-12,6.708584939656375e-13,frontal,parietal
song,1,2back,2.335517062797919,1.6411131408795056e-12,7.026765794266874e-13,frontal,parietal
song,1,3back,1.3832885194785267,8.511524677206271e-13,6.153108738598476e-13,frontal,parietal
song,2,rest,0.8275288384686469,1.9775552743671293e-12,2.38971161177491e-12,frontal,parietal
song,2,0back,1.3056288545685173,1.872866370220202e-12,1.4344554071908474e-12,frontal,parietal
song,2,2back,3.318350569414237,2.2691865372576187e-12,6.838296586783418e-13,frontal,parietal
song,2,3back,2.41951034196452,1.4727687716218433e-12,6.087053012660527e-13,frontal,parietal
song,3,rest,2.3402398629090033,1.400705958679861e-12,5.985309373111577e-13,frontal,parietal
song,3,0back,1.5900364311253237,9.07691402867972e-13,5.708620161775586e-13,frontal,parietal
song,3,2back,2.806018147966087,1.7290670679656047e-12,6.161995314317197e-13,frontal,parietal
song,3,3back,2.1588934977352903,1.133244575132325e-12,5.249191663790338e-13,frontal,parietal
